bu,requestStorePath,R0_pct,AIS_pct,ads_CTR_pct,org_CTR_pct,ads_CABN_per_click_pct,org_CABN_per_click_pct,ads_imp,org_imp,all_impressions,ads_clicks,org_clicks,all_clicks,ads_atc,ads_bnc,ads_cabn,org_atc,org_bnc,org_cabn,all_atc,all_bnc,R0_bucket,AIS_bucket
Lifestyle,osp/iko,51.3053,32.8272,1.6127,2.3996,1.2693,1.4163,5090254,10415959,15506213,82093,249946,332039,621,421,1042,1925,1615,3540,2546,2036,50–60%,30–35%
Lifestyle,clo/ash/ohw/36j,45.8582,27.6568,1.0232,2.1269,1.7067,1.4882,4157247,10874333,15031580,42538,231284,273822,492,234,726,2370,1072,3442,2862,1306,40–50%,25–30%
Lifestyle,clo/ash/axc/mmk/kp7,60.9023,28.7558,2.2138,3.3825,1.8127,1.6178,4253762,10538970,14792732,94168,356476,450644,786,921,1707,3107,2660,5767,3893,3581,60–70%,25–30%
Lifestyle,clo/odx/maj/jhy,54.0803,23.7408,1.5905,2.2066,1.0680,1.1264,3473279,11156732,14630011,55242,246182,301424,431,159,590,1962,811,2773,2393,970,50–60%,15–25%
Lifestyle,osp/cil/e1f,52.4162,30.5473,2.5928,3.4491,1.6185,1.9044,4277403,9725141,14002544,110903,335430,446333,929,866,1795,3038,3350,6388,3967,4216,50–60%,30–35%
Lifestyle,mcr/96v/fbc,47.5548,23.9888,1.2887,2.3079,4.8740,4.4692,3341803,10588888,13930691,43065,244382,287447,940,1159,2099,5066,5856,10922,6006,7015,40–50%,15–25%
Lifestyle,osp/cil/e1r,56.7743,31.4966,1.8476,2.6452,1.9141,1.9675,3814626,8296614,12111240,70478,219466,289944,398,951,1349,1425,2893,4318,1823,3844,50–60%,30–35%
EmergingElectronics,ajy/buh,65.0276,33.8082,2.7652,3.4622,6.5673,7.8889,3757674,7357011,11114685,103909,254713,358622,1904,4920,6824,4739,15355,20094,6643,20275,60–70%,30–35%
Lifestyle,mcr/96v/k9d,43.1848,25.0205,1.3492,2.1104,4.6263,5.4802,2769933,8300743,11070676,37373,175175,212548,924,805,1729,5292,4308,9600,6216,5113,40–50%,25–30%
Lifestyle,clo/ash/axc/mmk,66.6217,28.8978,2.2027,3.1422,1.9782,1.8138,3155492,7764000,10919492,69506,243960,313466,591,784,1375,2189,2236,4425,2780,3020,60–70%,25–30%
Lifestyle,mcr/96v/yx2,44.6449,25.5874,1.3677,1.9482,3.3584,4.1803,2629955,7648363,10278318,35970,149007,184977,744,464,1208,3642,2587,6229,4386,3051,40–50%,25–30%
Lifestyle,osp/cil/e83,48.1389,29.8358,1.8852,2.9210,1.5302,1.6960,3054045,7182131,10236176,57575,209792,267367,346,535,881,1455,2103,3558,1801,2638,40–50%,25–30%
Lifestyle,clo/vua/k58/i51,52.4209,26.2171,2.5099,3.8285,1.9232,2.0232,2508788,7060508,9569296,62967,270315,333282,519,692,1211,2671,2798,5469,3190,3490,50–60%,25–30%
BGM,g9b/ema/5la,58.4044,36.5163,3.0389,4.5175,15.6570,17.6628,3446642,5991992,9438634,104739,270688,375427,5516,10883,16399,15614,32197,47811,21130,43080,50–60%,35–40%
EmergingElectronics,0pm/fcn/821/a7x/2si,62.5033,30.7705,2.6402,3.6071,7.9946,9.0028,2813756,6330574,9144330,74288,228352,302640,1497,4442,5939,4251,16307,20558,5748,20749,60–70%,30–35%
Lifestyle,clo/cfv/itg,53.6682,16.1810,1.8297,2.5184,1.1154,1.1911,1460218,7564046,9024264,26717,190493,217210,143,155,298,1259,1010,2269,1402,1165,50–60%,15–25%
Lifestyle,clo/ash/ank,59.7319,30.7750,1.7888,2.4933,2.3970,2.5865,2703016,6080134,8783150,48352,151593,199945,369,790,1159,1284,2637,3921,1653,3427,50–60%,30–35%
Lifestyle,reh/ihu,43.3211,36.6194,1.7118,2.5470,4.0974,5.2856,3108044,5379372,8487416,53204,137015,190219,1355,825,2180,4313,2929,7242,5668,3754,40–50%,35–40%
EmergingElectronics,0pm/0o7,45.9161,23.7711,2.1669,3.4615,4.5849,6.1327,2017161,6468600,8485761,43709,223913,267622,493,1511,2004,2798,10934,13732,3291,12445,40–50%,15–25%
Lifestyle,clo/eof/1bp,63.1436,33.6660,1.8271,2.3429,2.2140,2.2740,2662484,5246045,7908529,48646,122911,171557,435,642,1077,1273,1522,2795,1708,2164,60–70%,30–35%
EmergingElectronics,0pm/fcn/821,61.4466,31.8945,2.1389,3.2306,9.5773,9.9737,2487662,5312007,7799669,53209,171611,224820,1040,4056,5096,3314,13802,17116,4354,17858,60–70%,30–35%
Lifestyle,clo/cfv,68.8188,17.6778,1.7225,2.2609,1.3373,1.1542,1354513,6307730,7662243,23331,142613,165944,167,145,312,919,727,1646,1086,872,60–70%,15–25%
BGM,bks,81.8623,22.9890,4.8209,5.1263,17.4920,17.9714,1655801,5546772,7202573,79825,284346,364171,5793,8170,13963,17160,33941,51101,22953,42111,70–100%,15–25%
BGM,tng,67.6231,26.9909,2.1005,2.2210,6.7541,8.3805,1937702,5241388,7179090,40701,116413,157114,1316,1433,2749,4484,5272,9756,5800,6705,60–70%,25–30%
Lifestyle,clo/odx/maj/zc1,43.3967,27.1068,1.5154,2.4140,1.5418,1.8180,1938792,5213622,7152414,29381,125855,155236,214,239,453,1102,1186,2288,1316,1425,40–50%,25–30%
Home,upp/3t7,37.7174,30.4112,2.1754,3.0881,5.7656,9.1406,2128806,4871266,7000072,46309,150428,196737,1172,1498,2670,5385,8365,13750,6557,9863,25–40%,30–35%
Lifestyle,clo/ash/ank/loi,46.4310,32.7161,1.4834,2.7142,2.0830,2.0830,2268734,4665867,6934601,33654,126642,160296,400,301,701,1547,1091,2638,1947,1392,40–50%,30–35%
BGM,26x,37.0553,30.5183,2.1409,2.8176,2.5601,4.4340,2039788,4644038,6683826,43670,130852,174522,555,563,1118,2424,3378,5802,2979,3941,25–40%,30–35%
Lifestyle,osp/mba,67.5948,34.9599,2.0334,2.6625,1.9927,1.9822,2314984,4306840,6621824,47072,114670,161742,339,599,938,860,1413,2273,1199,2012,60–70%,30–35%
Lifestyle,osp/iko/6q1,43.5793,21.4638,1.5051,2.0590,0.9498,1.3130,1308176,4786629,6094805,19689,98555,118244,137,50,187,873,421,1294,1010,471,40–50%,15–25%
Lifestyle,clo/cfv/cib,57.7810,24.4421,1.6025,2.6499,1.7787,1.5551,1427938,4414194,5842132,22882,116971,139853,181,226,407,951,868,1819,1132,1094,50–60%,15–25%
Large,j9e/abm/lbz,53.8439,36.0190,3.5290,4.9511,6.1077,7.4211,2087762,3708520,5796282,73677,183612,257289,1512,2988,4500,4579,9047,13626,6091,12035,50–60%,35–40%
Lifestyle,clo/vua/k58/4hp,59.8984,33.9281,2.5094,3.5071,1.9241,1.9522,1961311,3819478,5780789,49217,133953,183170,584,363,947,1583,1032,2615,2167,1395,50–60%,30–35%
Lifestyle,clo/vua,62.7150,33.7338,2.1349,2.7394,1.7175,1.8404,1851812,3637679,5489491,39534,99650,139184,324,355,679,817,1017,1834,1141,1372,60–70%,30–35%
BGM,1mt,87.6043,22.8983,1.3673,1.5443,7.4595,6.1848,1249107,4205915,5455022,17079,64950,82029,525,749,1274,1620,2397,4017,2145,3146,70–100%,15–25%
Lifestyle,clo/odx,59.5702,20.9032,1.4725,2.0376,1.2678,1.2211,1114197,4216073,5330270,16406,85905,102311,108,100,208,509,540,1049,617,640,50–60%,15–25%
Lifestyle,reh/4d7,70.4535,36.5477,2.6937,3.1428,5.7927,6.1607,1936047,3361263,5297310,52152,105638,157790,1444,1577,3021,3075,3433,6508,4519,5010,70–100%,35–40%
Lifestyle,clo/8on/zpd,55.1525,28.3088,2.0991,2.7603,2.2819,2.7181,1446777,3663913,5110690,30370,101136,131506,315,378,693,1197,1552,2749,1512,1930,50–60%,25–30%
Lifestyle,clo/8on/5n9/hny,41.7156,29.5902,1.5934,2.7111,1.3852,1.5912,1504183,3579193,5083376,23967,97036,121003,167,165,332,873,671,1544,1040,836,40–50%,25–30%
Lifestyle,reh/plk/tvv,111.3527,40.6462,4.2537,3.3862,4.8009,4.6821,2065946,3016810,5082756,87880,102156,190036,1438,2781,4219,1869,2914,4783,3307,5695,>100%,>40%
Lifestyle,osp/iko/iz7,53.6388,36.7973,1.7046,2.3164,1.7015,1.9732,1868695,3209658,5078353,31854,74347,106201,211,331,542,630,837,1467,841,1168,50–60%,35–40%
Lifestyle,clo/qfl/v5v/kzg,61.8205,34.5407,3.1872,3.7811,2.3636,2.8549,1717707,3255290,4972997,54747,123086,177833,516,778,1294,1298,2216,3514,1814,2994,60–70%,30–35%
Home,jra/knw/qcw,60.7929,37.3132,3.0085,3.3799,7.0428,9.1657,1798650,3021756,4820406,54112,102131,156243,2040,1771,3811,4413,4948,9361,6453,6719,60–70%,35–40%
CoreElectronics,6bo/b5g,56.9086,15.0623,4.9007,7.8226,10.3030,9.1264,725852,4093140,4818992,35572,320191,355763,510,3155,3665,4644,24578,29222,5154,27733,50–60%,15–25%
Lifestyle,clo/vua/jlk/6ql,67.3969,36.2682,2.5143,3.4615,2.3966,2.2741,1717626,3018278,4735904,43186,104479,147665,415,620,1035,994,1382,2376,1409,2002,60–70%,35–40%
EmergingElectronics,ckf/czl,41.9215,14.3937,3.7482,7.2261,10.6861,13.7968,659119,3920098,4579217,24705,283269,307974,222,2418,2640,3631,35451,39082,3853,37869,40–50%,5–15%
Lifestyle,mcr/96v,61.0171,26.2542,1.6123,1.9816,5.6161,6.1704,1183863,3325374,4509237,19088,65895,84983,416,656,1072,1861,2205,4066,2277,2861,60–70%,25–30%
BGM,g9b/ema/5la/1ke,45.1980,35.0000,3.0215,5.8820,13.4002,15.6708,1571811,2919081,4490892,47492,171701,219193,2650,3714,6364,10645,16262,26907,13295,19976,40–50%,35–40%
Lifestyle,reh,63.2802,37.6112,2.1858,2.6883,6.5024,7.3080,1676631,2781172,4457803,36648,74767,111415,1128,1255,2383,2516,2948,5464,3644,4203,60–70%,35–40%
BGM,g9b/ema/5la/xrh,50.0935,39.2624,3.7913,7.2668,11.8082,14.0208,1743875,2697712,4441587,66115,196038,262153,3044,4763,7807,10163,17323,27486,13207,22086,50–60%,35–40%
Lifestyle,clo/qfi/xcx/ms4,53.1379,19.5651,1.8174,2.5466,2.4206,2.6392,866077,3560556,4426633,15740,90672,106412,203,178,381,1272,1121,2393,1475,1299,50–60%,15–25%
Lifestyle,clo/vua/mle/lhk,61.6553,32.7214,3.0532,4.4831,2.0912,1.9395,1401762,2882168,4283930,42798,129211,172009,403,492,895,1314,1192,2506,1717,1684,60–70%,30–35%
Large,j9e/abm/c54,45.6552,31.4002,4.4524,8.3536,17.4742,20.8962,1273862,2783003,4056865,56718,232482,289200,810,9101,9911,3945,44635,48580,4755,53736,40–50%,30–35%
Lifestyle,mcr,41.5901,31.1628,1.5193,2.2350,4.0658,5.4169,1223873,2703485,3927358,18594,60422,79016,282,474,756,1248,2025,3273,1530,2499,40–50%,30–35%
Lifestyle,clo/ash/axc/vop,32.7831,18.8212,1.3847,2.6715,1.3609,1.6131,737614,3181437,3919051,10214,84992,95206,97,42,139,941,430,1371,1038,472,25–40%,15–25%
Lifestyle,clo/cfv/cib/jks,58.0958,32.5892,2.1465,3.1094,1.7316,1.7691,1272580,2632334,3904914,27316,81850,109166,179,294,473,588,860,1448,767,1154,50–60%,30–35%
Large,j9e/abm/hzg,85.6302,18.7298,4.1266,5.9466,13.4725,14.8577,728828,3162453,3891281,30076,188057,218133,276,3776,4052,1991,25950,27941,2267,29726,70–100%,15–25%
EmergingElectronics,0pm/fcn,56.3067,36.3446,2.0744,3.2315,8.6438,9.4043,1410404,2470236,3880640,29258,79825,109083,641,1888,2529,1651,5856,7507,2292,7744,50–60%,35–40%
Lifestyle,clo/1hc/kc4/nmu,46.0057,32.7405,2.1402,2.7645,1.3499,1.9056,1252961,2573979,3826940,26816,71158,97974,205,157,362,705,651,1356,910,808,40–50%,30–35%
EmergingElectronics,tyy/4mr,79.2267,26.4815,2.2260,2.6003,9.1501,8.4080,986353,2738336,3724689,21956,71206,93162,522,1487,2009,1646,4341,5987,2168,5828,70–100%,25–30%
Lifestyle,clo/cfv/itg/sym,58.1092,21.9112,2.2301,2.6192,1.5308,1.7441,811396,2891721,3703117,18095,75741,93836,119,158,277,524,797,1321,643,955,50–60%,15–25%
Lifestyle,clo/ash/axc,61.3334,36.3972,2.1717,2.9704,2.2260,2.3046,1342513,2345992,3688505,29155,69686,98841,239,410,649,634,972,1606,873,1382,60–70%,35–40%
BGM,1mt/ztf/iv8/tih,55.1814,37.1627,2.5504,3.0541,3.9092,5.1932,1368099,2313277,3681376,34892,70650,105542,496,868,1364,1282,2387,3669,1778,3255,50–60%,35–40%
BGM,g9b/ffi/tv5/una,36.9012,34.5470,2.3903,4.0811,6.4661,10.0404,1270729,2407536,3678265,30374,98253,128627,941,1023,1964,4487,5378,9865,5428,6401,25–40%,30–35%
Lifestyle,clo/qfl/szr/3xl,107.0660,33.7957,2.9167,3.1982,4.4095,3.3838,1229256,2408061,3637317,35854,77015,112869,301,1280,1581,637,1969,2606,938,3249,>100%,30–35%
Lifestyle,clo/1hc/5d2/cny,51.6436,33.3550,2.2725,2.9371,1.6173,2.0298,1208063,2413767,3621830,27453,70894,98347,270,174,444,805,634,1439,1075,808,50–60%,30–35%
Lifestyle,clo/vua/mle/8ie,53.3801,38.7110,2.5856,3.7118,2.0758,2.2814,1376880,2179942,3556822,35601,80915,116516,423,316,739,1005,841,1846,1428,1157,50–60%,35–40%
Lifestyle,clo/ash/ank/pgi,72.7156,34.8794,2.0700,2.6278,2.9574,2.7798,1233307,2302606,3535913,25529,60508,86037,313,442,755,661,1021,1682,974,1463,70–100%,30–35%
BGM,g9b/ema/5la/jav,41.5044,38.7582,3.0544,6.5456,15.2597,20.2142,1308132,2066982,3375114,39955,135296,175251,1882,4215,6097,7546,19803,27349,9428,24018,40–50%,35–40%
Home,arb/uj2/z1t,37.4294,18.9604,1.5394,2.2491,4.7167,6.5899,636301,2719650,3355951,9795,61169,70964,261,201,462,2108,1923,4031,2369,2124,25–40%,15–25%
Home,jra/sl5/2va,47.3038,31.8898,2.7422,3.1527,3.9248,6.0426,1054608,2252435,3307043,28919,71013,99932,570,565,1135,2137,2154,4291,2707,2719,40–50%,30–35%
Home,upp,55.5794,25.7860,1.8199,2.1010,6.5270,8.2055,841847,2422892,3264739,15321,50905,66226,478,522,1000,1935,2242,4177,2413,2764,50–60%,25–30%
Lifestyle,clo/hlg/wrp,68.2723,30.1649,2.2544,3.0147,1.3485,1.2403,970351,2246466,3216817,21876,67725,89601,163,132,295,465,375,840,628,507,60–70%,30–35%
Home,upp/5ix,53.9371,29.2781,1.9083,2.4233,7.1181,8.8149,935686,2260168,3195854,17856,54771,72627,721,550,1271,2677,2151,4828,3398,2701,50–60%,25–30%
BGM,g9b/0yh,58.2103,35.4277,2.9095,3.8251,13.6279,17.0401,1129382,2058464,3187846,32859,78738,111597,1594,2884,4478,4384,9033,13417,5978,11917,50–60%,35–40%
Home,arb/yod/si0,44.8494,26.5024,1.8670,2.6108,7.0289,9.5524,839015,2326793,3165808,15664,60749,76413,520,581,1101,2911,2892,5803,3431,3473,40–50%,25–30%
BGM,g9b/0yh/jhz,65.8691,36.7125,2.8541,3.3564,13.3766,16.3213,1161118,2001618,3162736,33140,67182,100322,1468,2965,4433,3423,7542,10965,4891,10507,60–70%,35–40%
Large,j9e/m38/7ek,53.1576,39.9450,3.5732,5.4264,7.7355,9.4348,1257212,1890144,3147356,44923,102567,147490,1001,2474,3475,2657,7020,9677,3658,9494,50–60%,35–40%
Large,j9e/abm/52j,61.2689,38.8715,3.2675,4.8089,7.2432,6.9795,1213480,1908296,3121776,39651,91769,131420,511,2361,2872,1285,5120,6405,1796,7481,60–70%,35–40%
BGM,tng/56a/fq8/gl8,77.2705,22.6416,2.5636,2.8962,7.8297,7.1075,700960,2394931,3095891,17970,69363,87333,493,914,1407,1888,3042,4930,2381,3956,70–100%,15–25%
Lifestyle,clo/ash/ohw,46.0239,28.5198,1.0119,2.0181,1.8116,1.6240,872850,2187654,3060504,8832,44150,52982,95,65,160,439,278,717,534,343,40–50%,25–30%
BGM,eat/18p,33.5572,34.6083,1.2491,3.1433,5.1861,6.8090,1049706,1983398,3033104,13112,62344,75456,281,399,680,1563,2682,4245,1844,3081,25–40%,30–35%
BGM,abc/5lf/p8v,29.0069,14.6650,2.0434,3.7993,5.3755,7.5230,437891,2548075,2985966,8948,96810,105758,90,391,481,2043,5240,7283,2133,5631,25–40%,5–15%
BGM,1mt/85k,65.7925,25.2607,1.9528,2.1779,8.1044,9.1426,751271,2222795,2974066,14671,48411,63082,322,867,1189,1173,3253,4426,1495,4120,60–70%,25–30%
Lifestyle,clo/l1l,32.5876,20.8170,1.3235,2.1992,0.8579,1.3238,607726,2311641,2919367,8043,50837,58880,52,17,69,483,190,673,535,207,25–40%,15–25%
BGM,tng/sv3/p36,46.3869,15.1647,1.5961,2.4999,7.2470,8.0236,442650,2476309,2918959,7065,61905,68970,199,313,512,1659,3308,4967,1858,3621,40–50%,15–25%
Lifestyle,osp/iko/9d5,43.1304,29.1586,1.3395,2.1912,1.2562,1.4691,843897,2050266,2894163,11304,44925,56229,82,60,142,402,258,660,484,318,40–50%,25–30%
BGM,g9b/5nz/b1b/yug,59.3005,36.7330,3.6510,4.9237,20.2508,20.9143,1052663,1813055,2865718,38433,89269,127702,1610,6173,7783,4621,14049,18670,6231,20222,50–60%,35–40%
Lifestyle,clo/cfv/itg/pme,81.0363,19.8219,2.3848,2.6138,1.7841,1.6498,566420,2291124,2857544,13508,59885,73393,89,152,241,404,584,988,493,736,70–100%,15–25%
Home,upp/5ix/01e,53.1468,32.4043,2.4675,3.1083,7.7412,9.7537,910934,1900216,2811150,22477,59065,81542,990,750,1740,3291,2470,5761,4281,3220,50–60%,30–35%
BGM,g9b,73.9225,36.0424,3.0319,3.3760,17.1739,18.2321,992717,1761590,2754307,30098,59472,89570,2032,3137,5169,4353,6490,10843,6385,9627,70–100%,35–40%
EmergingElectronics,tyy/4mr/fu6,69.8766,38.8541,3.3695,3.9456,6.8257,7.5736,1068746,1681917,2750663,36011,66362,102373,892,1566,2458,1721,3305,5026,2613,4871,60–70%,35–40%
Lifestyle,clo/odx/maj,51.4427,25.4574,1.4934,2.1053,1.1478,1.3069,700074,2049906,2749980,10455,43157,53612,74,46,120,322,242,564,396,288,50–60%,25–30%
CoreElectronics,zlw/79s/by3,66.8461,37.8683,4.5488,5.2236,9.0174,10.6304,1030756,1691197,2721953,46887,88341,135228,1314,2914,4228,2639,6752,9391,3953,9666,60–70%,35–40%
BGM,g9b/lcf/qqm/t36,60.1430,38.1824,3.4168,5.6643,16.9012,17.8448,1037598,1679877,2717475,35453,95154,130607,2195,3797,5992,6267,10713,16980,8462,14510,60–70%,35–40%
Home,upp/i7t,44.0975,21.8226,1.9708,2.5028,5.6950,7.5970,592515,2122624,2715139,11677,53126,64803,368,297,665,2157,1879,4036,2525,2176,40–50%,15–25%
Lifestyle,clo/qfl,69.4416,37.3504,2.2468,2.5481,3.0114,3.2940,1006488,1688230,2694718,22614,43017,65631,201,480,681,415,1002,1417,616,1482,60–70%,35–40%
BGM,g9b/lcf/bjl,26.1569,20.4037,1.0084,2.2574,5.1310,6.7733,548901,2141299,2690200,5535,48337,53872,135,149,284,1555,1719,3274,1690,1868,25–40%,15–25%
Home,arb/kjw/bm1,28.8243,21.7095,1.7713,2.2433,3.9595,9.2954,580323,2092808,2673131,10279,46948,57227,241,166,407,1587,2777,4364,1828,2943,25–40%,15–25%
BGM,kyh/fdp/yvf,67.5607,40.7582,4.6729,5.7154,21.4356,24.5524,1087299,1580383,2667682,50808,90325,141133,2358,8533,10891,4653,17524,22177,7011,26057,60–70%,>40%
BGM,dgv,30.2701,23.1831,2.3660,3.3229,6.0691,11.5152,616313,2042141,2658454,14582,67858,82440,396,489,885,3184,4630,7814,3580,5119,25–40%,15–25%
Furniture,wwe/fc3,75.7885,32.1044,2.7675,2.6758,3.0607,3.5545,838194,1772646,2610840,23197,47433,70630,323,387,710,662,1024,1686,985,1411,70–100%,30–35%
BGM,hlc/ah4,58.9742,37.0321,3.2721,3.7145,16.6529,20.1358,963306,1637965,2601271,31520,60842,92362,1134,4115,5249,2784,9467,12251,3918,13582,50–60%,35–40%
BGM,g9b/lcf/qqm,69.0274,39.3648,3.8210,4.6707,18.8897,20.1019,998939,1538708,2537647,38169,71869,110038,2647,4563,7210,5514,8933,14447,8161,13496,60–70%,35–40%
BGM,d69/thr/wsp,64.4191,40.8245,2.2789,2.5913,6.3382,7.6937,1034999,1500241,2535240,23587,38876,62463,761,734,1495,1481,1510,2991,2242,2244,60–70%,>40%
Lifestyle,osp/cil/ssb,47.7026,35.1381,2.6853,3.8721,1.6528,2.0677,887762,1638734,2526496,23839,63453,87292,214,180,394,659,653,1312,873,833,40–50%,35–40%
Home,jra/knw/i6y,46.6584,34.6418,3.7108,4.3981,7.3978,10.7100,874980,1650813,2525793,32469,72605,105074,749,1653,2402,2108,5668,7776,2857,7321,40–50%,30–35%
BGM,g9b/ffi,54.3481,27.8248,2.0556,2.8751,10.2983,11.0932,699617,1814748,2514365,14381,52176,66557,677,804,1481,2619,3169,5788,3296,3973,50–60%,25–30%
Lifestyle,clo/vua/k58,50.6921,28.8340,2.0357,3.0713,1.7020,1.9094,715782,1766645,2482427,14571,54259,68830,100,148,248,421,615,1036,521,763,50–60%,25–30%
Home,upp/tnx/gsl,46.3625,32.2310,2.8936,3.5819,6.1286,8.3056,782699,1645707,2428406,22648,58948,81596,517,871,1388,2088,2808,4896,2605,3679,40–50%,30–35%
BGM,g9b/0yh/jhz/xys,62.7563,33.5640,3.5615,4.4234,14.2951,17.2388,811204,1605681,2416885,28891,71026,99917,1310,2820,4130,3800,8444,12244,5110,11264,60–70%,30–35%
BGM,tng/t4r,28.7051,2.1042,1.7425,2.3200,3.4522,7.2672,49872,2320290,2370162,869,53831,54700,13,17,30,1426,2486,3912,1439,2503,25–40%,<5%
Lifestyle,clo/vua/e8g/kc7,57.5312,37.3727,2.3714,3.2024,2.3251,2.6406,881417,1477036,2358453,20902,47300,68202,192,294,486,448,801,1249,640,1095,50–60%,35–40%
EmergingElectronics,0pm/fcn/gc3,56.6826,34.1642,1.7627,2.5789,7.4628,8.7616,804277,1549873,2354150,14177,39970,54147,358,700,1058,974,2528,3502,1332,3228,50–60%,30–35%
EmergingElectronics,igc/j69/agd,58.4780,34.7076,2.7301,3.6805,4.9870,5.3561,800597,1506091,2306688,21857,55432,77289,363,727,1090,948,2021,2969,1311,2748,50–60%,30–35%
Lifestyle,clo/ash,88.0867,22.6777,1.5527,1.9437,2.0249,1.5910,521609,1778490,2300099,8099,34569,42668,77,87,164,253,297,550,330,384,70–100%,15–25%
CoreElectronics,tyy/hry,78.1543,1.9486,6.5653,6.5431,8.6084,10.0734,44766,2252569,2297335,2939,147388,150327,39,214,253,1865,12982,14847,1904,13196,70–100%,<5%
Lifestyle,reh/ihu/mf2,32.9177,34.7213,1.7068,2.7508,3.4057,5.2517,793070,1491032,2284102,13536,41015,54551,324,137,461,1463,691,2154,1787,828,25–40%,30–35%
Home,arb,43.0650,23.8654,1.3855,1.9010,4.4309,6.3707,544078,1735700,2279778,7538,32995,40533,215,119,334,1074,1028,2102,1289,1147,40–50%,15–25%
Home,upp/d7m/uhm,43.8317,32.7023,3.1626,3.9822,4.7707,7.4106,739672,1522164,2261836,23393,60616,84009,384,732,1116,1630,2862,4492,2014,3594,40–50%,30–35%
Lifestyle,mcr/96v/az2,47.5556,29.9298,1.8051,2.2298,3.0865,4.3779,669475,1567346,2236821,12085,34948,47033,155,218,373,664,866,1530,819,1084,40–50%,25–30%
Home,upp/bqi,49.5752,37.2032,2.4670,3.1988,5.0251,6.9914,823594,1390178,2213772,20318,44469,64787,628,393,1021,1724,1385,3109,2352,1778,40–50%,35–40%
Lifestyle,reh/ro3,54.0722,41.2109,2.2260,2.9985,4.1924,4.9289,901171,1285561,2186732,20060,38548,58608,276,565,841,663,1237,1900,939,1802,50–60%,>40%
Lifestyle,clo/cfv/mn6,50.4151,27.1412,2.3562,2.7494,1.8241,2.4766,588661,1580223,2168884,13870,43447,57317,152,101,253,553,523,1076,705,624,50–60%,25–30%
BGM,tng/56a,63.1378,13.6889,2.2620,2.9580,8.3246,8.5718,294743,1858410,2153153,6667,54971,61638,230,325,555,2004,2708,4712,2234,3033,60–70%,5–15%
Lifestyle,clo/odx/od7/0xx,52.4778,16.7606,1.7763,2.4976,0.8320,0.9284,358618,1781033,2139651,6370,44483,50853,38,15,53,245,168,413,283,183,50–60%,15–25%
Lifestyle,clo/vua/iku/w5t,33.1031,25.1431,1.4163,2.5672,1.4205,1.8952,521917,1553869,2075786,7392,39891,47283,71,34,105,523,233,756,594,267,25–40%,25–30%
BGM,hlc/etg/1rx,80.6188,42.9932,5.9810,6.4526,7.3673,7.3793,885544,1174188,2059732,52964,75766,128730,1064,2838,3902,1756,3835,5591,2820,6673,70–100%,>40%
Home,jhg/6w8,46.0877,24.3942,1.8993,2.4325,4.1930,5.8787,490973,1521692,2012665,9325,37015,46340,221,170,391,920,1256,2176,1141,1426,40–50%,15–25%
BGM,eat,79.3485,31.3456,2.4011,2.7643,8.9402,9.0104,630755,1381502,2012257,15145,38189,53334,552,802,1354,1325,2116,3441,1877,2918,70–100%,30–35%
